CODIGO	CD_BANCO	VALOR	DIAS_PRIMEIRA_PARCELA	TIPO_CLIENTE	CD_SEXO	QTDE_DIVIDAS_ANTERIORES	CD_CARTEIRA_CLIENTE	IDADE	GRUPO_IDADE_CONTA	ALVO_1_0
9450	B341	393	11	NEUTRO	M	16	C	29	ENTRE 2 E 4 ANOS	0
9451	B341	393	12	NEUTRO	M	16	C	29	ENTRE 2 E 4 ANOS	0
9453	B1	270.7	12	NEUTRO	F	0	C	48	ENTRE 4 E 9 ANOS	1
9454	B341	596	14	EXPERIENTE	M	0	C	47	ENTRE 2 E 4 ANOS	1
9456	B237	325.9	11	VIP	M	1	C	37	MAIOR OU IGUAL A 15	0
9457	B104	300	13	NEUTRO	M	0	C	NULL	ENTRE 9 E 14 ANOS	0
9458	B341	315	10	EXPERIENTE	F	0	C	44	ENTRE 9 E 14 ANOS	1
9459	B341	253.33	10	EXPERIENTE	F	0	C	44	ENTRE 1 E 2 ANOS	1
9460	B341	253.34	21	EXPERIENTE	F	0	C	44	ENTRE 1 E 2 ANOS	1
9461	B237	490	12	NOVO	M	6	C	23	ENTRE 4 E 9 ANOS	0
9462	B237	82	11	NEUTRO	M	8	C	32	ENTRE 4 E 9 ANOS	0
9463	B341	373	45	NEUTRO	F	0	C	30	ENTRE 4 E 9 ANOS	1
9465	B341	208	14	NOVO	F	9	C	29	ENTRE 2 E 4 ANOS	0
9466	B237	415	11	NEUTRO	M	16	C	58	ENTRE 1 E 2 ANOS	0
9467	B237	206	13	NEUTRO	M	16	C	58	ENTRE 1 E 2 ANOS	0
9468	B341	400	14	NEUTRO	M	16	C	58	MAIOR OU IGUAL A 15	0
9473	B1	146.46	9	NOVO	M	0	C	50	ENTRE 1 E 2 ANOS	0
9474	B341	331.93	12	NOVO	 	13	C	31	ENTRE 4 E 9 ANOS	1
9475	B341	331.93	12	NOVO	 	13	C	31	ENTRE 4 E 9 ANOS	0
9476	B341	324	12	NOVO	 	13	C	31	ENTRE 4 E 9 ANOS	1
9478	B237	192	13	EXPERIENTE	M	16	C	48	ENTRE 1 E 2 ANOS	0
9479	B341	78.75	11	NOVO	F	10	C	49	ENTRE 1 E 2 ANOS	0
9480	B341	78	13	NOVO	F	10	C	49	ENTRE 1 E 2 ANOS	0
9481	B151	200	12	NOVO	M	0	C	41	ENTRE 4 E 9 ANOS	1
9482	B341	73.66	9	EXPERIENTE	M	0	C	44	MAIOR OU IGUAL A 15	1
9484	B237	125.62	13	EXPERIENTE	F	0	C	42	ENTRE 9 E 14 ANOS	0
9485	B237	370	13	NOVO	F	7	C	42	ENTRE 1 E 2 ANOS	0
9486	B237	94	14	EXPERIENTE	M	6	C	44	ENTRE 2 E 4 ANOS	0
9489	B399	106.9	14	NEUTRO	M	3	C	39	ENTRE 9 E 14 ANOS	1
9491	B33	743.25	16	NEUTRO	 	0	C	41	MAIOR OU IGUAL A 15	1
9492	B399	97.08	13	NOVO	F	7	C	48	ENTRE 4 E 9 ANOS	0
9493	B399	94	15	NOVO	F	7	C	48	ENTRE 4 E 9 ANOS	0
9494	B399	94	12	NOVO	F	7	C	49	ENTRE 4 E 9 ANOS	0
9495	B399	94	10	NOVO	F	7	C	49	ENTRE 4 E 9 ANOS	0
9496	B399	94	12	NOVO	F	7	C	49	ENTRE 4 E 9 ANOS	0
9497	B399	94	11	NOVO	F	7	C	49	ENTRE 4 E 9 ANOS	0
9499	B341	370.83	11	VIP	M	0	C	37	MAIOR OU IGUAL A 15	1
9500	B237	448	10	VIP	M	15	C	38	MAIOR OU IGUAL A 15	0
9501	B237	188	14	VIP	M	15	C	38	MAIOR OU IGUAL A 15	0
9507	B237	76.09	17	NEUTRO	M	6	C	35	ENTRE 9 E 14 ANOS	1
9508	B237	175.59	12	NOVO	F	16	C	33	ATÉ 1 ANO	1
9509	B237	172	10	NOVO	F	16	C	33	ENTRE 1 E 2 ANOS	0
